RegionID,Date,Home Value
394514,6/30/2015,184274.9801
394514,7/31/2015,186135.3104
394514,8/31/2015,188004.8276
394514,9/30/2015,189961.474
394514,10/31/2015,191907.1525
394514,11/30/2015,193833.4539
394514,12/31/2015,195740.8392
394514,1/31/2016,197757.0808
394514,2/29/2016,199836.9312
394514,3/31/2016,201651.7452
394514,4/30/2016,203505.2338
394514,5/31/2016,205271.8249
394514,6/30/2016,207157.0702
394514,7/31/2016,208768.7752
394514,8/31/2016,210268.3848
394514,9/30/2016,211908.9775
394514,10/31/2016,213667.2605
394514,11/30/2016,215658.1686
394514,12/31/2016,217560.8393
394514,1/31/2017,219488.5389
394514,2/28/2017,221309.5258
394514,3/31/2017,223257.8129
394514,4/30/2017,225374.5329
394514,5/31/2017,227371.8661
394514,6/30/2017,229203.0093
394514,7/31/2017,230606.8725
394514,8/31/2017,231939.909
394514,9/30/2017,233326.2555
394514,10/31/2017,234896.6455
394514,11/30/2017,236622.3606
394514,12/31/2017,238495.4931
394514,1/31/2018,240421.9377
394514,2/28/2018,242277.4346
394514,3/31/2018,244151.1389
394514,4/30/2018,245821.7578
394514,5/31/2018,247391.9684
394514,6/30/2018,248461.7296
394514,7/31/2018,249561.7349
394514,8/31/2018,250388.0765
394514,9/30/2018,251140.9623
394514,10/31/2018,251581.9914
394514,11/30/2018,252072.3074
394514,12/31/2018,252783.435
394514,1/31/2019,253711.527
394514,2/28/2019,254717.1947
394514,3/31/2019,255582.1463
394514,4/30/2019,256057.6661
394514,5/31/2019,256253.0424
394514,6/30/2019,256313.8475
394514,7/31/2019,256410.802
394514,8/31/2019,256654.2598
394514,9/30/2019,257038.9528
394514,10/31/2019,257735.7784
394514,11/30/2019,258720.0404
394514,12/31/2019,259938.5784
394514,1/31/2020,261483.4644
394514,2/29/2020,263051.0809
394514,3/31/2020,264541.6877
394514,4/30/2020,265326.3572
394514,5/31/2020,265316.9309
394514,6/30/2020,265098.9144
394514,7/31/2020,265462.8175
394514,8/31/2020,266902.6886
394514,9/30/2020,269402.7199
394514,10/31/2020,272521.8902
394514,11/30/2020,276170.7515
394514,12/31/2020,279857.6494
394514,1/31/2021,283756.6614
394514,2/28/2021,287881.6433
394514,3/31/2021,292479.2156
394514,4/30/2021,297561.2714
394514,5/31/2021,303416.6343
394514,6/30/2021,309546.1956
394514,7/31/2021,315099.9039
394514,8/31/2021,319404.1142
394514,9/30/2021,322771.655
394514,10/31/2021,326354.1629
394514,11/30/2021,330774.6327
394514,12/31/2021,335848.6609
394514,1/31/2022,342899.7847
394514,2/28/2022,351363.5675
394514,3/31/2022,360968.1324
394514,4/30/2022,370456.5495
394514,5/31/2022,379045.701
394514,6/30/2022,386408.5358
394514,7/31/2022,390452.7648
394514,8/31/2022,391124.2826
394514,9/30/2022,389402.3834
394514,10/31/2022,387314.0855
394514,11/30/2022,385376.5386
394514,12/31/2022,383360.2449
394514,1/31/2023,380762.2029
394514,2/28/2023,378446.1671
394514,3/31/2023,376875.0753
394514,4/30/2023,376311.1909
394514,5/31/2023,376603.5111
394514,6/30/2023,377440.0529
394514,7/31/2023,378439.0436
394514,8/31/2023,379381.6939
394514,9/30/2023,379806.0766
394514,10/31/2023,379923.1518
394514,11/30/2023,379781.3046
394514,12/31/2023,379448.0276
394514,1/31/2024,379470.1581
394514,2/29/2024,379962.0637
394514,3/31/2024,381143.1058
394514,4/30/2024,382131.1836
394514,5/31/2024,382277.8676
394514,6/30/2024,381600.2437
394692,1/31/2015,178225.7626
394692,2/28/2015,179935.4199
394692,3/31/2015,181619.6872
394692,4/30/2015,183127.093
394692,5/31/2015,184559.9201
394692,6/30/2015,185913.6583
394692,7/31/2015,187237.4785
394692,8/31/2015,188543.4349
394692,9/30/2015,189705.4189
394692,10/31/2015,190780.8557
394692,11/30/2015,191723.8154
394692,12/31/2015,192729.013
394692,1/31/2016,193876.6138
394692,2/29/2016,194983.575
394692,3/31/2016,195726.6355
394692,4/30/2016,196336.5764
394692,5/31/2016,196921.748
394692,6/30/2016,197642.1384
394692,7/31/2016,198120.2782
394692,8/31/2016,198491.8003
394692,9/30/2016,199001.8288
394692,10/31/2016,199665.9974
394692,11/30/2016,200518.5
394692,12/31/2016,201289.299
394692,1/31/2017,201936.8014
394692,2/28/2017,202355.6313
394692,3/31/2017,202908.2848
394692,4/30/2017,203677.6763
394692,5/31/2017,204381.7656
394692,6/30/2017,204990.331
394692,7/31/2017,205325.6367
394692,8/31/2017,205749.666
394692,9/30/2017,206170.379
394692,10/31/2017,206815.7265
394692,11/30/2017,207556.6514
394692,12/31/2017,208362.2842
394692,1/31/2018,209081.8054
394692,2/28/2018,209635.6453
394692,3/31/2018,210381.4306
394692,4/30/2018,211184.5003
394692,5/31/2018,212184.2809
394692,6/30/2018,213022.2768
394692,7/31/2018,213969.3581
394692,8/31/2018,214770.7285
394692,9/30/2018,215573.8998
394692,10/31/2018,216240.1772
394692,11/30/2018,216976.8259
394692,12/31/2018,217764.1967
394692,1/31/2019,218585.5259
394692,2/28/2019,219436.4313
394692,3/31/2019,220246.0514
394692,4/30/2019,220849.4148
394692,5/31/2019,221303.1887
394692,6/30/2019,221616.5082
394692,7/31/2019,221935.4396
394692,8/31/2019,222303.2047
394692,9/30/2019,222773.7921
394692,10/31/2019,223410.7861
394692,11/30/2019,224285.8078
394692,12/31/2019,225234.1195
394692,1/31/2020,226211.523
394692,2/29/2020,227065.584
394692,3/31/2020,227883.4691
394692,4/30/2020,228390.4872
394692,5/31/2020,228388.9443
394692,6/30/2020,228346.6663
394692,7/31/2020,228749.3106
394692,8/31/2020,229923.4021
394692,9/30/2020,231707.5051
394692,10/31/2020,233894.183
394692,11/30/2020,236555.9245
394692,12/31/2020,239232.7439
394692,1/31/2021,242017.1563
394692,2/28/2021,244825.3965
394692,3/31/2021,247942.3402
394692,4/30/2021,251314.592
394692,5/31/2021,255224.1236
394692,6/30/2021,259506.6868
394692,7/31/2021,263461.2542
394692,8/31/2021,266523.2402
394692,9/30/2021,268820.5903
394692,10/31/2021,271360.7459
394692,11/30/2021,274561.2568
394692,12/31/2021,278167.7273
394692,1/31/2022,282789.196
394692,2/28/2022,288020.8829
394692,3/31/2022,294120.5365
394692,4/30/2022,299978.5223
394692,5/31/2022,305341.1603
394692,6/30/2022,309915.1562
394692,7/31/2022,312995.6446
394692,8/31/2022,314325.7837
394692,9/30/2022,314238.18
394692,10/31/2022,313706.5427
394692,11/30/2022,313068.4354
394692,12/31/2022,311867.7225
394692,1/31/2023,310066.3246
394692,2/28/2023,308355.972
394692,3/31/2023,307184.0102
394692,4/30/2023,306726.5289
394692,5/31/2023,306884.5395
394692,6/30/2023,307705.7331
394692,7/31/2023,308647.3134
394692,8/31/2023,309540.2459
394692,9/30/2023,309904.152
394692,10/31/2023,309930.2974
394692,11/30/2023,309640.2685
394692,12/31/2023,309219.4921
394692,1/31/2024,309213.3862
394692,2/29/2024,309596.4821
394692,3/31/2024,310595.817
394692,4/30/2024,311629.4642
394692,5/31/2024,312171.8679
394692,6/30/2024,312051.87
395209,1/31/2015,376095.68
395209,2/28/2015,376816.6102
395209,3/31/2015,377707.0949
395209,4/30/2015,378200.4747
395209,5/31/2015,378373.1662
395209,6/30/2015,378435.8062
395209,7/31/2015,378928.9013
395209,8/31/2015,379682.2563
395209,9/30/2015,380767.1285
395209,10/31/2015,382105.8362
395209,11/30/2015,383502.6443
395209,12/31/2015,384782.9606
395209,1/31/2016,386173.6975
